,artist_uri,artist_name
0,spotify:artist:2wIVse2owClT7go1WT98tk,Missy Elliott
1,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears
2,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé
3,spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake
4,spotify:artist:5EvFsr3kj42KNv97ZEnqij,Shaggy
5,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher
7,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls
8,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child
9,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,OutKast
10,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado
11,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney
14,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Cassie
15,spotify:artist:0f5nVCcR06GX8Qikz0COtT,Omarion
16,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
17,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Chris Brown
20,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
21,spotify:artist:1yxSLGMDHlW21z4YXirZDS,The Black Eyed Peas
22,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup
23,spotify:artist:01lz5VBfkMFDteSA9pKJuP,The Click Five
25,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers
26,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,Lil Mama
27,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,Cascada
28,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
29,spotify:artist:21E3waRsmPlU7jZsS13rcj,Ne-Yo
30,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
31,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,Boys Like Girls
32,spotify:artist:5tKXB9uuebKE34yowVaU3C,Iyaz
34,spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha
36,spotify:artist:1uNFoZAHBGtllmzznpCI3s,Justin Bieber
37,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,M.I.A.
38,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers
39,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182
42,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects
44,spotify:artist:5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton
45,spotify:artist:7vWBZm3sQ8yQvfV4nXxHXK,Cris Cab
48,spotify:artist:6S2OmqARrzebs0tKUEyXyp,Demi Lovato
50,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,We The Kings
51,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor
52,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell
58,spotify:artist:6BKWwLs98ZY3ifhCDNGvLk,Kaleptik
59,spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,Ben Foster
60,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.
61,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson
63,spotify:artist:4aXXDj9aZnlshx7mzj3W1N,Lin-Manuel Miranda
64,spotify:artist:36QJpDe2go2KgaRleHCDTp,Led Zeppelin
65,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul
66,spotify:artist:2NPduAUeLVsfIauhRwuft1,Nightwish
67,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,Seal
68,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
