,playlist_name,collaborative,num_tracks,num_artists,playlist_id
0,indie rock,False,9,5,0
1,#Relaxed,False,38,15,1
2,#Workout,False,47,37,2
3,#boostyourrun,False,22,21,3
4,( ͡° ͜ʖ ͡°),False,209,127,4
5,((chris)),False,118,57,5
6,*** good stuff,False,46,37,6
7,000,False,130,17,7
8,14,False,130,103,8
9,1967,False,23,20,9
10,1990's,False,53,39,10
11,2012,False,233,42,11
12,2013,False,29,28,12
13,2016,False,19,14,13
14,2017,False,13,13,14
15,2017,False,38,23,15
16,2017,False,53,48,16
17,2020,False,85,71,17
18,4/20,True,65,61,18
19,80's,False,92,82,19
20,90's,False,57,52,20
21,90's,False,228,73,21
22,90's,False,103,61,22
23,90s,False,17,16,23
24,90s,False,62,56,24
25,90s alternative,False,124,80,25
26,90s baby,False,24,16,26
27,90s hip hop,False,33,22,27
28,90s hits,False,48,40,28
29,<3,False,48,29,29
30,AA,False,142,83,30
31,AAA,False,56,31,31
32,Acoustic,False,63,38,32
33,Alexia,False,41,21,33
34,All the songs,False,103,59,34
35,Alright,False,29,20,35
36,Alt Jams,False,141,93,36
37,Another,False,25,21,37
38,April,False,199,131,38
39,Ashley,False,81,72,39
40,Atlas,False,18,14,40
41,Autumnal,False,99,55,41
42,Aux,False,83,42,42
43,Awesome Mix,False,38,34,43
44,Awesome Playlist,False,39,21,44
45,Awesome mix vol. 1,False,12,12,45
46,BBG,True,26,24,46
47,BOP,False,46,23,47
48,BUST A MOVE,False,18,18,48
49,Bang Bang,False,22,16,49
50,Beautiful Things,False,22,19,50
51,Belters,False,209,55,51
52,Best Songs of 2016,False,79,52,52
53,Blackout,False,35,25,53
54,Blues,False,41,21,54
55,Brasileiras,False,33,19,55
56,Breezeblocks,False,79,63,56
57,Britt,False,17,17,57
58,Bus playlist,False,52,34,58
59,CHRISTMAS,False,44,27,59
60,CHRISTMAS MUSIC,False,36,33,60
61,CHRISTMASSSSS,False,57,10,61
62,CR,False,5,5,62
63,Cali,False,59,49,63
64,Cash,False,64,31,64
65,Catchy Songs,False,98,67,65
66,Chill,False,23,16,66
67,Chill,False,66,30,67
68,Chill,False,82,36,68
69,Chill Alternative,True,50,41,69
70,Chill Out,False,12,6,70
71,Chill Out Music,False,99,50,71
72,Chill Rock,False,128,90,72
73,Chill Sesh,False,139,26,73
74,Chill music,False,12,11,74
75,Chris,False,42,38,75
76,Christian Songs,False,66,25,76
77,Christmas,False,15,10,77
78,Christmas 2016,False,25,17,78
79,Christmas Mix,False,32,25,79
80,Christmas music,False,90,31,80
81,Classic,False,22,12,81
82,Classic Rock,False,101,58,82
83,Classical,False,166,49,83
84,Comedy,False,16,10,84
85,Congratulations,False,61,45,85
86,Corridos,False,179,80,86
87,Country,False,13,8,87
88,Country,False,21,9,88
89,Country,False,32,13,89
90,Country,False,58,17,90
91,Country,False,67,33,91
92,Country,False,189,69,92
93,Country,False,240,87,93
94,Country favorites,False,51,26,94
95,Covers,False,11,9,95
96,Cruisin,False,64,45,96
97,Current jams,False,51,33,97
98,DA,True,188,167,98
99,DIEGO$,False,100,39,99
100,Daddy Issues,False,37,26,100
101,Dance,False,68,51,101
102,Dance mix,False,167,111,102
103,Dave,True,81,3,103
104,Disney,False,38,27,104
105,Disney Jams,True,34,26,105
106,Disneyland,False,22,19,106
107,Dope,False,16,14,107
108,Drank,False,78,53,108
109,Driving,False,151,34,109
110,Dusk,True,102,78,110
111,Elisa,False,123,92,111
112,Elizabeth,False,105,61,112
113,Eminem,False,34,5,113
114,Emotional,False,29,20,114
115,English,False,161,68,115
116,Everyday,False,25,12,116
117,Everything,False,229,40,117
118,FUN,False,66,44,118
119,Fall,False,50,41,119
120,Fall 2015,False,13,13,120
121,Fallout,False,32,19,121
122,Favorite Songs,False,136,57,122
123,Favorite Songs,False,236,114,123
124,Feelin' Myself,False,54,43,124
125,Feels,False,94,74,125
126,Florida,False,69,22,126
127,For the Road,False,103,41,127
128,Friday afternoon...,False,72,33,128
129,Funky,False,30,11,129
130,GET DOWN,False,170,133,130
131,GUACAMOLE,False,24,20,131
132,Game Time,False,34,27,132
133,Garage Rock,False,157,9,133
134,Gates,False,38,3,134
135,Get It!,False,109,47,135
136,Get pumped,False,12,6,136
137,Go To,False,88,70,137
138,Go to,False,124,20,138
139,Gold Digger,False,12,10,139
140,Good Day,False,51,32,140
141,Good Times,False,140,104,141
142,Good Vibes,False,70,52,142
143,Good songs,False,22,11,143
144,Good stuff,False,41,34,144
145,Gospel,False,25,9,145
146,Gospel,False,45,23,146
147,Greatest Hits,False,24,3,147
148,Guilty pleasure,False,118,56,148
149,Gym,False,72,45,149
150,HALLOWEEN,False,20,20,150
151,High,False,9,4,151
152,Hits,False,50,44,152
153,Hits,False,72,55,153
154,Hockey,False,46,25,154
155,Homework,False,26,14,155
156,Hype,False,210,119,156
157,Hyphy,False,16,13,157
158,I Put A Spell On You,False,16,13,158
159,INDY,False,21,18,159
160,Indie,False,27,23,160
161,Intro,False,89,71,161
162,Isis,False,59,35,162
163,It's Christmas Time!,False,173,70,163
164,JAMS,False,65,26,164
165,JAZZ,False,129,94,165
166,Julion alvarez,False,60,29,166
167,KPOP,False,66,12,167
168,Kendrick Lamar,False,70,11,168
169,Kevin,False,54,25,169
170,Kickin it,False,41,36,170
171,Killin' It,True,10,10,171
172,Korean,False,22,17,172
173,Kyle,False,168,82,173
174,LIT!!!!!!!,False,70,38,174
175,LM,False,27,23,175
176,LUV,False,48,9,176
177,Ladies,False,10,8,177
178,Ladies,False,14,10,178
179,Latin Trap,False,83,40,179
180,Latino,False,146,68,180
181,Legendary,False,55,27,181
182,Line Dances,False,23,22,182
183,Litty,False,143,57,183
184,Long Car Rides,False,60,48,184
185,Love,False,18,4,185
186,Love,False,46,41,186
187,Love Music,False,188,103,187
188,Madness,False,111,47,188
189,Mashup,False,198,34,189
190,Me Like,False,74,40,190
191,Mega Chill,False,27,23,191
192,Mellow.,False,17,15,192
193,Melting Pot,False,218,156,193
194,Meow,False,75,42,194
195,Metal,False,87,10,195
196,Mine,False,18,13,196
197,Mom's playlist,False,79,61,197
198,More Songs,False,8,7,198
199,Mr. Brightside,False,22,17,199
200,Mumford & Sons,False,17,3,200
201,Music,False,85,28,201
202,Music From Baz Luhrmann's Film The Great Gatsby,False,21,18,202
203,Music.,False,41,33,203
204,Musicals,False,68,35,204
205,My baby,False,15,9,205
206,My favorites,False,26,23,206
207,My favs,False,29,18,207
208,My happy place,False,40,25,208
209,My music,False,79,45,209
210,NB,False,105,75,210
211,NEW,False,16,5,211
212,Narcos,False,25,24,212
213,New,False,18,7,213
214,New Songs,False,7,3,214
215,New years,False,44,28,215
216,OD,False,92,73,216
217,ODESZA,False,17,3,217
218,OOOUUU,False,18,15,218
219,October 2017,True,20,18,219
220,Old School,False,55,28,220
221,Old songs,False,92,67,221
222,Oldies,False,42,36,222
223,On the Run,False,41,34,223
224,POP,False,38,21,224
225,PT,False,113,81,225
226,Party,False,45,40,226
227,Party,False,152,75,227
228,Party Rock!!,True,114,100,228
229,Party time,False,29,24,229
230,Peace,False,115,91,230
231,Phone,False,10,7,231
232,Piano Music,False,51,3,232
233,PlayStation,False,133,87,233
234,Pop,False,89,66,234
235,Prayer,False,29,11,235
236,Pregame,False,46,37,236
237,Pump up songs,False,74,41,237
238,Punk,False,140,20,238
239,R & B,False,68,37,239
240,RAP,False,30,23,240
241,RAVE,False,28,18,241
242,RUNNIN,False,43,30,242
243,Random,False,22,12,243
244,Random Tunes,False,74,47,244
245,Rap,False,32,22,245
246,Rap Classics,False,52,29,246
247,Rap/Pop,False,233,141,247
248,Reggae/Ska,False,34,16,248
249,Reggaeton,False,12,12,249
250,Relax,False,15,8,250
251,Relaxing,False,71,52,251
252,Rent,False,28,11,252
253,Road,False,26,24,253
254,Road Trip Mix,False,35,35,254
255,Road Trippin',False,158,106,255
256,Roadtrip,False,121,87,256
257,Rock,False,17,6,257
258,Rock alternativo,False,12,9,258
259,Run!!,False,14,12,259
260,Running,False,26,19,260
261,Running 2,False,11,8,261
262,Running 2.0,False,97,83,262
263,SARAH,False,68,55,263
264,SB,False,55,31,264
265,SPRANG,False,51,29,265
266,SUMMER 2k17,False,120,23,266
267,Sad Songs,False,15,15,267
268,Sad songs,False,29,21,268
269,Salsa clasica,False,60,26,269
270,Samba,False,30,27,270
271,Saturn,False,44,29,271
272,Say My Name,False,34,15,272
273,Shower,False,5,5,273
274,Silence,False,7,7,274
275,Ski,False,66,64,275
276,Smooth,False,109,23,276
277,Smooth Jazz,False,5,4,277
278,Solitude,False,102,86,278
279,Spanish,False,6,4,279
280,Spring 2016,False,15,14,280
281,Spring16,False,57,53,281
282,Studying,False,88,66,282
283,Summer,False,31,24,283
284,Summer Chill,False,134,110,284
285,Summer Playlist,False,27,21,285
286,Summer of love,False,24,23,286
287,Sweat.It.Out.,True,22,21,287
288,TBT,False,31,23,288
289,TOP,False,66,38,289
290,TRIPPIn,False,10,7,290
291,Tame Impala,False,43,3,291
292,Tegan and Sara,False,151,7,292
293,Tennessee,False,151,27,293
294,That New New,False,44,40,294
295,The Drive,False,135,92,295
296,The Piano Guys,False,69,6,296
297,Thinking,False,23,10,297
298,This Is What You Came For,False,157,113,298
299,Throwbacks,False,52,37,299
300,Throwbacks,False,134,67,300
301,Tom Petty,False,8,3,301
302,Top hits,False,130,75,302
303,Traps,False,16,16,303
304,Traveling,False,54,33,304
305,Trip,False,37,23,305
306,Twenty one pilots,False,7,3,306
307,Up Beat,False,95,70,307
308,VIBE,False,134,99,308
309,Vibe,False,49,19,309
310,Volleyball,False,80,51,310
311,WORSHIP,False,122,62,311
312,Walking on Sunshine,False,18,15,312
313,Way Up,False,34,23,313
314,Wedding,False,17,16,314
315,Wedding,False,80,56,315
316,Wedding Dance Party,False,87,69,316
317,Wes Anderson,False,16,15,317
318,West Coast Swing,False,44,29,318
319,Willie,False,23,4,319
320,Winter 2014,False,26,15,320
321,Workout,False,24,12,321
322,Workout2,False,39,26,322
323,Worship,False,126,47,323
324,Worship,False,132,64,324
325,Worship,False,35,26,325
326,XXXMas,False,50,48,326
327,Xmas,False,123,50,327
328,YEET,False,21,20,328
329,YOU,False,78,65,329
330,Yeet,False,81,37,330
331,Zombies,False,58,36,331
332,Zoned,False,42,23,332
333,abby,False,72,40,333
334,acoustic,False,106,72,334
335,angst,False,76,54,335
336,art class,False,18,13,336
337,ashley,False,169,104,337
338,bae,False,18,17,338
339,bang bang.,False,42,35,339
340,basic,False,141,73,340
341,beach,False,194,102,341
342,beachy,False,28,16,342
343,before my time,False,176,134,343
344,best christmas,False,47,38,344
345,blue grass,False,88,49,345
346,boat,False,26,23,346
347,boris,False,161,124,347
348,brad paisley,False,55,17,348
349,broadway,False,81,44,349
350,bruno mars,False,31,3,350
351,bumps,False,37,17,351
352,car,False,24,19,352
353,car playlist,False,17,16,353
354,car rides,False,111,72,354
355,car tunes,False,108,67,355
356,chill,False,8,7,356
357,chill,False,26,25,357
358,chill beats,False,26,14,358
359,chill out,False,203,141,359
360,christmas,False,19,10,360
361,classic,False,32,25,361
362,classics,False,120,76,362
363,country,False,24,16,363
364,country,False,69,15,364
365,country,False,96,25,365
366,country,False,123,48,366
367,country,False,70,37,367
368,country 2017,False,31,29,368
369,dance,False,77,59,369
370,dance it out,False,38,31,370
371,dank memes,True,5,5,371
372,deep,False,105,81,372
373,early 2000's,False,17,10,373
374,electronic,False,179,149,374
375,elevator music,False,175,111,375
376,eurotrip,False,67,60,376
377,fall '17,False,42,37,377
378,family,False,101,51,378
379,feels,False,33,27,379
380,feelz,False,121,90,380
381,folky,False,74,23,381
382,frenchy,False,28,18,382
383,funky,False,19,13,383
384,go to,False,99,68,384
385,goldie,False,84,74,385
386,good good,False,80,65,386
387,greek,False,23,15,387
388,groovy,False,40,39,388
389,guitar.,False,10,10,389
390,happy,False,63,36,390
391,high,False,171,110,391
392,hip hop,False,6,6,392
393,housewarming,False,174,77,393
394,hype,False,33,23,394
395,in my feels,False,214,94,395
396,issa playlist,False,159,36,396
397,its lit,False,205,45,397
398,jazzy,False,42,32,398
399,jesus jams,False,22,11,399
400,june,True,18,8,400
401,karaoke.,False,28,3,401
402,korean,False,64,31,402
403,kpop,False,48,25,403
404,latin,False,177,63,404
405,lit,False,73,35,405
406,lit songs,False,17,16,406
407,love,False,44,32,407
408,mat,False,126,86,408
409,mayer,False,58,5,409
410,mb,False,174,140,410
411,melancholy,False,85,70,411
412,mix,False,10,9,412
413,mix,False,30,12,413
414,mixtape,False,14,6,414
415,mixtape,False,29,12,415
416,modern rock,False,71,20,416
417,morning,False,17,11,417
418,motivational,False,41,33,418
419,motown,False,55,41,419
420,my country,False,148,18,420
421,my heart,False,159,108,421
422,new,False,34,31,422
423,new stuff,False,62,12,423
424,old country,False,21,18,424
425,old people,False,59,39,425
426,old songs,False,54,45,426
427,oldies,False,35,23,427
428,oldies,False,94,74,428
429,oldies,False,122,88,429
430,oldies but goodies,False,5,4,430
431,ouch,False,24,20,431
432,party music,False,176,118,432
433,party people,False,62,50,433
434,party playlist,False,98,74,434
435,pg,False,132,107,435
436,picks,False,60,41,436
437,pump,False,61,22,437
438,quiet,False,15,14,438
439,randoms,False,38,23,439
440,rap,False,64,24,440
441,rap god,False,37,15,441
442,rap mix,False,195,87,442
443,rawr,False,24,20,443
444,reggae,False,18,14,444
445,relax,False,9,9,445
446,relax,False,24,20,446
447,relax,False,124,97,447
448,ride,False,55,26,448
449,roadtrippin,False,170,90,449
450,roma,False,63,52,450
451,run it,False,41,31,451
452,running,False,49,40,452
453,sad,False,5,3,453
454,sb2k17,False,130,92,454
455,september,False,10,6,455
456,shower,False,13,10,456
457,shower,False,5,5,457
458,sleep,False,13,12,458
459,sleep,False,22,22,459
460,slow,False,95,64,460
461,slow hands,False,105,81,461
462,smooth,False,12,8,462
463,songs that make me think of you,False,23,20,463
464,songs to sing in the shower,False,20,20,464
465,soul,False,25,23,465
466,spanish jams,False,197,83,466
467,spin,False,14,13,467
468,spring 16,False,19,15,468
469,stream,False,35,29,469
470,studying music,False,55,30,470
471,summer,False,53,26,471
472,summer 2015,False,40,30,472
473,summer16,False,18,17,473
474,taylor swift,False,33,21,474
475,tb,False,53,42,475
476,tears.,False,68,47,476
477,throw backs,False,70,45,477
478,throwback,False,145,77,478
479,trap,False,89,41,479
480,upbeat,False,47,42,480
481,vibes,False,241,69,481
482,volleyball playlist,False,46,35,482
483,w o r k o u t,False,245,171,483
484,winter '17,False,32,29,484
485,workout,False,17,17,485
486,workout mix,False,9,8,486
487,wrap,False,99,43,487
488,xx,False,174,47,488
489,yo,False,90,59,489
