,duration_ms,track_uri,track_name
0,226864.0,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop)
1,198800.0,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,Toxic
2,235933.0,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,Crazy In Love
3,267267.0,spotify:track:1AWQoqb9bSvzTjaLralEkT,Rock Your Body
4,227600.0,spotify:track:1lzr43nnXAijIGYnCT8M8H,It Wasn't Me
5,250373.0,spotify:track:0XUfyU2QviPAs6bxSpXYG4,Yeah!
6,223440.0,spotify:track:68vgtRHr7iZHpzGpon6Jlo,My Boo
7,225560.0,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,Buttons
8,271333.0,spotify:track:7H6ev70Weq6DdpZyyTmUXk,Say My Name
9,235213.0,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix / Club Mix
10,242293.0,spotify:track:2gam98EZKrF9XuOkU13ApN,Promiscuous
11,211693.0,spotify:track:4Y45aqo9QMa57rDsAJv40A,Right Where You Want Me - Radio Edit Version
12,214227.0,spotify:track:1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul
13,216880.0,spotify:track:20ORwCJusz4KS2PbTPVNKo,Leavin'
14,192213.0,spotify:track:7k6IzwMGpxnRghE7YosnXT,Me & U
15,256427.0,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,Ice Box
16,204000.0,spotify:track:4omisSlTk6Dsq2iQD7MA07,Sk8er Boi
17,229867.0,spotify:track:7xYnUQigPoIDAMPVK79NEq,Run It!
18,210453.0,spotify:track:6d8A5sAx9TfdeseDvfWNHd,Check On It - feat. Bun B and Slim Thug
19,230200.0,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'"
20,292307.0,spotify:track:215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun
21,272533.0,spotify:track:0uqPG793dkDDN7sCUJJIVC,Where Is The Love?
22,193043.0,spotify:track:19Js5ypV6JKn4DMExHQbGc,Stacy's Mom
23,234147.0,spotify:track:1JURww012QnWAw0zZXi6Aa,Just The Girl
24,229040.0,spotify:track:7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss)
25,201960.0,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,Year 3000
26,219773.0,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss
27,199120.0,spotify:track:6MjljecHzHelUDismyKkba,Everytime We Touch - Radio Edit
28,221253.0,spotify:track:67T6l4q3zVjC5nZZPXByU8,Whatcha Say
29,232000.0,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,Miss Independent
30,202067.0,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.
31,206520.0,spotify:track:6GIrIt2M39wEGwjCQjGChX,The Great Escape
32,182307.0,spotify:track:4E5P1XyAFtrjpiIxkydly4,Replay
33,277107.0,spotify:track:3H1LCvO3fVsK2HPguhbml0,Forever
34,187133.0,spotify:track:3uoQULcUWfnt6nc6J7Vgai,Your Love Is My Drug
35,234360.0,spotify:track:2nbClS09zsIAqNkshg6jnp,Closer
36,229107.0,spotify:track:69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl
37,203760.0,spotify:track:1kusepF3AacIEtUTYrw4GV,Paper Planes
38,222587.0,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside
39,168000.0,spotify:track:12qZHAeOyTf93YAWvGDTat,All The Small Things
40,229360.0,spotify:track:2jFlMILIQzs7lSFudG9lbo,Beep
41,220920.0,spotify:track:4I2GqMe7L2ccMpUbnDzYLH,Somebody To Love
42,193653.0,spotify:track:5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret
43,213973.0,spotify:track:2eJ8ij1T3cNUKiGdcUvKhy,Baby
44,237493.0,spotify:track:5y69gQtK33qxb8a24ACkCy,A Thousand Miles
45,201230.0,spotify:track:1X5WGCrUMuwRFuYU1eAo2I,Livin on Sunday
46,190453.0,spotify:track:3utIAb67sOu0QHxBE88P1M,See You Again
47,208333.0,spotify:track:3jkdQNkDTxxXtjSO4l0o1H,How Do You Sleep? - Featuring Ludacris
48,189187.0,spotify:track:5c1sfI6wIQEsSUw0xrkFdl,This Is Me
49,242413.0,spotify:track:6sqNctd7MlJoKDOxPVCAvU,My Happy Ending
50,220133.0,spotify:track:1b7vg5T9YKR3NNqXfBYRF7,Check Yes Juliet
51,243773.0,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger
52,70294.0,spotify:track:1MYYt7h6amcrauCOoso3Gx,Libera Me From Hell (Tengen Toppa Gurren Lagann)
53,65306.0,spotify:track:3x2mJ2bjCIU70NrH49CtYR,Pokémon Theme
54,108532.0,spotify:track:1Pm3fq1SC6lUlNVBGZi3Em,Concerning Hobbits (The Lord of the Rings)
55,214269.0,spotify:track:1NXTEkIeRL59NK61QuhYUl,The Blood of Cuchulainn (The Boondock Saints)
56,110219.0,spotify:track:3RGlJJFkWEavxeRQr9ivAd,He's a Pirate (Pirates of the Caribbean)
57,207520.0,spotify:track:0e9hR1vTrzlUvFH5PgA9rY,Very Bloody Tears (Castlevania II: Simon's Quest)
58,226000.0,spotify:track:7dkbEHIMLoeuG4zXGmzhEH,U.N. Owen Was Her? (Remix)
59,104600.0,spotify:track:7nZnCjIJ8JigdMqJ36yRRm,I am the Doctor in Utah
60,318215.0,spotify:track:2TK2KSrzXD6W01qjXVjNGh,The Room Where It Happens
61,321697.0,spotify:track:3nJYcY9yvKP8Oi2Ml8brXt,Right Hand Man
62,236738.0,spotify:track:4TTV7EcfroSLWzXRY6gLv6,Alexander Hamilton
63,333154.0,spotify:track:4cxvludVmQxryrnx1m9FqL,My Shot
64,482830.0,spotify:track:5CQ30WqJwcep0pYcV4AMNc,Stairway To Heaven
65,306040.0,spotify:track:1HZ3cUZUw5htSFmah1V8Ko,Shine
66,602080.0,spotify:track:43pmQcgxMMhJu1gPW2ZdNz,Ghost Love Score
67,356520.0,spotify:track:6Vz7vzOpCwKeSQlfViibuY,Crazy
68,377747.0,spotify:track:4sFbojhVXQv7dBC9PVCcRn,Sympathy For The Devil
69,270773.0,spotify:track:1dv3ePjze9tPq2pk8eWJdR,Gimme Shelter
70,547107.0,spotify:track:5EWPGh7jbTNO2wakv8LjUI,Free Bird
71,303587.0,spotify:track:1GqlvSEtMx5xbGptxOTTyk,Peace of Mind
72,467640.0,spotify:track:39C5FuZ8C8M0QI8CrMsPkR,Foreplay / Long Time
73,235547.0,spotify:track:4aVuWgvD0X63hcOCnZtNFA,Hold the Line
74,323000.0,spotify:track:4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son
75,354320.0,spotify:track:1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011
76,281147.0,spotify:track:4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama
77,285133.0,spotify:track:1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling
78,508200.0,spotify:track:2nVHqZbOGkKWzlcy1aMbE7,Kashmir
79,241160.0,spotify:track:6MpMuAuLzFFfwB8QzWL1iZ,The Majestic Tale (Of A Madman In A Box)
80,354520.0,spotify:track:7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine
81,140773.0,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son
82,252493.0,spotify:track:0XIvZ82aDF7JiSi3ZE320u,Rock You Like A Hurricane
83,276880.0,spotify:track:3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer
84,370427.0,spotify:track:6UGHk2cmbDC1oidVjXcCKo,Red Barchetta
85,265840.0,spotify:track:3lpDrxUkr0tIe1kmJvdK7d,YYZ
86,259840.0,spotify:track:0K6yUnIKNsFtfIpTgGtcHm,Limelight
87,658987.0,spotify:track:0hBby0yygBY1u3m6tSpZgC,The Camera Eye
88,285533.0,spotify:track:6cbBAD1AAYVaQR1cx89AZX,Witch Hunt
89,286227.0,spotify:track:1k0GxoZYv3Yx5mNeXMOZN2,Vital Signs
90,212716.0,spotify:track:74tqql9zP6JjF5hjkHHUXp,Like You
91,180007.0,spotify:track:4erhEGuOGQgjv3p1bccnpn,GOOD (feat. ELO)
92,204376.0,spotify:track:4hRA2rCPaCOpoEIq5qXaBz,Inferiority Complex (feat. Eunha)
93,232867.0,spotify:track:1enx9LPZrXxaVVBxas5rRm,Ordinary Love
94,274097.0,spotify:track:0WNGsQ1oAuHzNTk8jivBKW,Spring Day
95,218475.0,spotify:track:24psBRmEw3kHjBGZfl1dmb,Ah-Choo
96,288993.0,spotify:track:06L1apH8kLF47dbhZ4Zg9A,BREATHE
97,217861.0,spotify:track:2qWgqPdW1OiAP8KSBH1b93,FXXK WIT US
98,234107.0,spotify:track:2PTf3zh9UUsgdxQ5b0eXg8,I Will Show You
99,257647.0,spotify:track:7tIJDktakabGoHjwTTa35W,Take Me
100,161624.0,spotify:track:6ToAD7ajJidQTDn72OncDG,꺼내 먹어요 (Eat)
101,189154.0,spotify:track:6yEfq48XkEzCg0TwY6Hhkb,No Make Up
102,206773.0,spotify:track:1ZgfAxHQCXLt8o1VXEHHAt,Oh NaNa (Hidden. HUR YOUNG JI)
103,208667.0,spotify:track:4b1sQpvL7QVgamRZ74F1oA,Don't Recall
104,229350.0,spotify:track:0AO2yQNGcH0ASHHU5lS4lT,양화대교 (Yanghwa Brdg)
105,211375.0,spotify:track:0g1AmSKokPboFrxmG1dxKx,Some (feat.Geeks Lil Boi)
106,223642.0,spotify:track:5S5gGOsUarzRXKoaSstwba,Me Like Yuh
