,artist_uri,artist_name
0,spotify:artist:2wIVse2owClT7go1WT98tk,Missy Elliott
10,spotify:artist:26dSoYclwsYLMAKD3tpOr4,Britney Spears
20,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Ed Sheeran
30,spotify:artist:31TPClRtHm23RisEBtV3X7,Justin Timberlake
40,spotify:artist:5EvFsr3kj42KNv97ZEnqij,Shaggy
50,spotify:artist:23zg3TcAtWQy7J6upgbUnj,Usher
70,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls
80,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child
90,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,Outkast
100,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,Nelly Furtado
110,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney
140,spotify:artist:27FGXRNruFoOdf1vP8dqcH,Cassie
150,spotify:artist:0f5nVCcR06GX8Qikz0COtT,Omarion
160,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne
170,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,Rvssian
200,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow
210,spotify:artist:1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas
220,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup
230,spotify:artist:01lz5VBfkMFDteSA9pKJuP,The Click Five
250,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,Marshmello
260,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,Lil Mama
270,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,Cascada
280,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo
290,spotify:artist:21E3waRsmPlU7jZsS13rcj,Pitbull
300,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
310,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,Boys Like Girls
320,spotify:artist:5tKXB9uuebKE34yowVaU3C,Iyaz
340,spotify:artist:6LqNN22kT3074XbTVUrhzX,Kesha
360,spotify:artist:1uNFoZAHBGtllmzznpCI3s,The Kid LAROI
370,spotify:artist:0QJIPDAEDILuo8AIq3pMuU,M.I.A.
380,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,The Killers
390,spotify:artist:6FBDaR13swtiWwGhX1WQsP,blink-182
420,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects
440,spotify:artist:5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton
450,spotify:artist:7vWBZm3sQ8yQvfV4nXxHXK,Cris Cab
480,spotify:artist:6S2OmqARrzebs0tKUEyXyp,Demi Lovato
500,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,We The Kings
520,spotify:artist:26bcq2nyj5GB7uRr558iQg,Survivor
530,spotify:artist:7zdmbPudNX4SQJXnYIuCTC,Daniel Tidwell
590,spotify:artist:6BKWwLs98ZY3ifhCDNGvLk,Kaleptik
600,spotify:artist:6Gp8BbKAqPO3R0UAYkm8J0,Anna Netrebko
610,spotify:artist:3cR4rhS2hBWqI7rJEBacvN,Leslie Odom Jr.
620,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,Christopher Jackson
646,spotify:artist:4aXXDj9aZnlshx7mzj3W1N,Opetaia Foa'i
650,spotify:artist:36QJpDe2go2KgaRleHCDTp,Led Zeppelin
660,spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6,Collective Soul
670,spotify:artist:2NPduAUeLVsfIauhRwuft1,Nightwish
680,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,Seal
690,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
710,spotify:artist:4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd
720,spotify:artist:29kkCKKGXheHuoO829FxWK,Boston
740,spotify:artist:0PFtn5NtBbbUNbU9EAmIWF,TOTO
750,spotify:artist:2hl0xAkS2AIRAu23TVMBG1,Kansas
760,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,Queen
810,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
820,spotify:artist:3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival
830,spotify:artist:27T030eWyCQRmDyuvr1kxY,Scorpions
840,spotify:artist:2Hkut4rAAyrQxRdof7FVJq,Rush
910,spotify:artist:7lXgbtBDcCRbfc5f8FhGUL,Hoody
920,spotify:artist:2e4G04F77jxVuDYo44TCSm,Loco
930,spotify:artist:0hT0UrjmzkLJouAT52ck6j,Park Kyung
950,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,Coldplay
960,spotify:artist:3g34PW5oNmDBxMVUTzx2XK,Lovelyz
970,spotify:artist:7cVZApDoQZpS447nHTsNqu,LeeHi
990,spotify:artist:3uGFTJ7JMllvhgGpumieHF,AILEE
1000,spotify:artist:1ukccHTdm6Xjmag0QLNJBx,Miso
1009,spotify:artist:5HenzRvMtSrgtvU16XAoby,Zion.T
1029,spotify:artist:2JhAlkmukNvarUpGhTFXUQ,KARD
1059,spotify:artist:4XDi67ZENZcbfKnvMnTYsI,Jay Park
1089,spotify:artist:4XpUIb8uuNlIWVKmgKZXC0,ZICO
1139,spotify:artist:41MozSoPIsD1dJM0CLPjZF,BLACKPINK
1149,spotify:artist:1sVSMPPNMMSZ7cQNfbvMOe,Eddy Kim
1159,spotify:artist:6zhAP0FoDccL9kuETOC20q,Jung Yong Hwa
1179,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,CNBLUE
1209,spotify:artist:2uWcrwgWmZcQc3IPBs3tfU,Apink
1229,spotify:artist:4U80LJd8sG6U9YTFP5izka,Suzy
1239,spotify:artist:4ufh0WuMZh6y4Dmdnklvdl,BAEKHYUN
1259,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,V
1263,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,BIGBANG
1303,spotify:artist:30b9WulBM8sFuBo17nNq9c,G-DRAGON
1323,spotify:artist:7F3F1w0FK3HYyNLe3wE56T,TAEYANG
1343,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,AKMU
1373,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O,EXO
1393,spotify:artist:3UwlejyX2b458azZ7eCnHb,HyunA
1453,spotify:artist:05uheFGPahVh2nHIZK1KuB,Jenyer
1473,spotify:artist:6LPOT9C3gvGQHxlZtMLHHg,YEZI
1483,spotify:artist:0bxSJJ7V2M4Zb9lpRzWPD8,JIMIN
1533,spotify:artist:436sYg6CZhNefQJogaXeK0,Camille Saint-Saëns
1553,spotify:artist:32zeX1IoVKAGWMyy1isKUq,No Vacation
1573,spotify:artist:5BCnLrqpwYtufR1bDWn0hG,Banes World
1593,spotify:artist:5712BvYQ5m5Wcah576OFH4,PWR BTTM
1603,spotify:artist:4bthk9UfsYUYdcFyqxmSUU,Tears For Fears
1613,spotify:artist:3g3ew6TtLErig0QaTcSaPt,Natureboy
1623,spotify:artist:4jCIAMb0zEArF3GYEYzoDk,Joy Again
1653,spotify:artist:5M0HAqHXyOh3q7WQnvce8o,Part Time
1693,spotify:artist:4wyNyxs74Ux8UIDopNjIai,King Krule
1703,spotify:artist:5gcDZA9xXCOspWgQilUYIu,The Preatures
1713,spotify:artist:4OrizGCKhOrW6iDDJHN9xd,DIIV
