,name,collaborative,num_tracks,num_followers,num_artists,playlist_id
0,Throwbacks,False,52,1,37,299
52,Awesome Playlist,False,39,1,21,44
91,korean ,False,64,1,31,402
155,mat,False,126,1,86,408
281,90s,False,17,2,16,23
298,Wedding,False,80,1,56,315
378,I Put A Spell On You,False,16,1,13,158
394,2017,False,53,1,48,16
447,BOP,False,46,2,23,47
493,old country ,False,21,1,18,424
514,abby ,False,72,2,40,333
586,VIBE,False,134,1,99,308
720,relax,False,9,1,9,445
729,sleep,False,13,1,12,458
742,90's ,False,103,1,61,22
845,New Songs,False,7,1,3,214
852,slow hands,False,105,1,81,461
957,Mom's playlist,False,79,1,61,197
1036,SARAH,False,68,1,55,263
1104,melancholy,False,85,1,70,411
1189,mixtape,False,14,3,6,414
1203,Sad Songs,False,15,1,15,267
1218,fall '17,False,42,2,37,377
1260,✔️,False,20,1,7,493
1280,Twenty one pilots,False,7,1,3,306
1287,run it,False,41,2,31,451
1328,Winter 2014,False,26,1,15,320
1354,smooth ,False,12,1,8,462
1366,Yeet,False,81,7,37,330
1447,groovy,False,40,1,39,388
1487,Garage Rock,False,157,1,9,133
1644,Running 2.0,False,97,1,83,262
1741,acoustic,False,106,1,72,334
1847,morning,False,17,1,11,417
1864,good good,False,80,1,65,386
1944,Good Vibes,False,70,1,52,142
2014, indie rock,False,9,1,5,0
2023,Hits,False,72,1,55,153
2095,tb,False,53,1,42,475
2148,Country,False,58,1,17,90
2206,2020,False,85,6,71,17
2291,Belters,False,209,1,55,51
2500,Road Trippin',False,158,2,106,255
2658,Country,False,21,1,9,88
2679,taylor swift,False,33,3,21,474
2712,angst,False,76,1,54,335
2788,Running 2,False,11,1,8,261
2799,Spring 2016,False,15,1,14,280
2814,Country,False,32,1,13,89
2846,Gospel,False,45,1,23,146
2891,SB,False,55,1,31,264
2946,Kevin,False,54,1,25,169
3000,Christmas,False,15,5,10,77
3015,NB,False,105,4,75,210
3120,Smooth Jazz,False,5,1,4,277
3125,Tennessee ,False,151,3,27,293
3276,funky,False,19,1,13,383
3295,spring 16,False,19,1,15,468
3314,Gates,False,38,2,3,134
3352,Favorite Songs,False,136,3,57,122
3488,Ski,False,66,2,64,275
3554,Country,False,13,1,8,87
3567,hype,False,33,2,23,394
3600,Awesome Mix,False,38,1,34,43
3638,Elizabeth,False,105,1,61,112
3743,PlayStation,False,133,1,87,233
3876,Ashley,False,81,1,72,39
3957,chill,False,8,1,7,356
3965,xx,False,174,1,47,488
4139,art class,False,18,1,13,336
4157,Random Tunes,False,74,1,47,244
4231,boat,False,26,1,23,346
4257,spanish jams,False,197,1,83,466
4454,new,False,34,1,31,422
4488,CR,False,5,1,5,62
4493,Run!!,False,14,2,12,259
4507,winter '17,False,32,4,29,484
4539,Workout,False,24,1,12,321
4563,Traps ,False,16,1,16,303
4579,Dope,False,16,1,14,107
4595,Chill,False,66,1,30,67
4661,rap,False,64,1,24,440
4725,Gospel,False,25,1,9,145
4750,Florida,False,69,2,22,126
4819,Workout2,False,39,1,26,322
4858,Gym,False,72,2,45,149
4930,Zoned,False,42,1,23,332
4972,relax,False,24,1,20,446
4996,KPOP,False,66,1,12,167
5062,80's,False,92,1,82,19
5154,For the Road,False,103,2,41,127
5257,R & B,False,68,3,37,239
5325,Tom Petty,False,8,1,3,301
5333,Catchy Songs,False,98,1,67,65
5431,relax,False,124,1,97,447
5555,roadtrippin,False,170,1,90,449
5725,christmas,False,19,1,10,360
5744,2012,False,233,1,42,11
5977,Dave,True,81,1,3,103
6058,bang bang. ,False,42,2,35,339
6100,Disneyland,False,22,1,19,106
6122,#boostyourrun,False,22,1,21,3
6144,LUV,False,48,1,9,176
6192,latin,False,177,1,63,404
6369,JAMS,False,65,1,26,164
6434,~Rando~,False,115,1,82,490
6549,Party Rock!!,True,114,1,100,228
6663,party people,False,62,2,50,433
6725,The Piano Guys,False,69,1,6,296
6794,Worship,False,132,1,64,324
6926,Brasileiras,False,33,2,19,55
6959,country,False,24,1,16,363
6983,4/20,True,65,1,61,18
7048,2016,False,19,1,14,13
7067,Willie,False,23,1,4,319
7090,beach,False,194,4,102,341
7284,Gold Digger,False,12,1,10,139
7296,Fall 2015,False,13,1,13,120
7309,dance it out,False,38,1,31,370
7347,greek,False,23,1,15,387
7370,All the songs,False,103,1,59,34
7473,Kyle,False,168,1,82,173
7641,HALLOWEEN,False,20,1,20,150
7661,w o r k o u t,False,245,1,171,483
7906,party music,False,176,2,118,432
8082,summer,False,53,1,26,471
8135,XXXMas,False,50,1,48,326
8185,BBG,True,26,1,24,46
