,track_uri,track_name,artist_name,artist_uri,album_uri,album_name
0,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,spotify:artist:2wIVse2owClT7go1WT98tk,spotify:album:6vV5UrXcfyQD1wu4Qo2I9K,The Cookbook
1,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,spotify:album:0z7pVBGOD7HCIB7S8eLkLI,In The Zone
2,spotify:track:0WqIKmW4BTrj3eJFmnCKMv,Crazy In Love,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:album:25hVFAxTlDvXbx2X2QkUkE,Dangerously In Love (Alben für die Ewigkeit)
3,spotify:track:1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,spotify:album:6QPkyl04rXwTGlGlcYaRoW,Justified
4,spotify:track:1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,spotify:album:6NmFmPX56pcLBOFMhIiKvF,Hot Shot
5,spotify:track:0XUfyU2QviPAs6bxSpXYG4,Yeah!,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,spotify:album:0vO0b1AvY49CPQyVisJLj0,Confessions
6,spotify:track:68vgtRHr7iZHpzGpon6Jlo,My Boo,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,spotify:album:1RM6MGv6bcl6NrAG8PGoZk,Confessions
7,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,Buttons,The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,spotify:album:5x8e8UcCeOgrOzSnDGuPye,PCD
8,spotify:track:7H6ev70Weq6DdpZyyTmUXk,Say My Name,Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:album:283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall
9,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Hey Ya! - Radio Mix / Club Mix,OutKast,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,spotify:album:1UsmQ3bpJTyK6ygoOOjG1r,Speakerboxxx/The Love Below
10,spotify:track:2gam98EZKrF9XuOkU13ApN,Promiscuous,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,spotify:album:2yboV2QBcVGEhcRlYuPpDT,Loose
11,spotify:track:4Y45aqo9QMa57rDsAJv40A,Right Where You Want Me - Radio Edit Version,Jesse McCartney,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:album:6022khQj4Fsvvse8f3A4lF,Right Where You Want Me
12,spotify:track:1HwpWwa6bnqqRhK8agG4RS,Beautiful Soul,Jesse McCartney,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:album:2gidE8vgVOkYufANjuvj3S,Beautiful Soul
13,spotify:track:20ORwCJusz4KS2PbTPVNKo,Leavin',Jesse McCartney,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:album:2tDCfKFy2YW9N0IwNSRdOJ,Departure - Recharged
14,spotify:track:7k6IzwMGpxnRghE7YosnXT,Me & U,Cassie,spotify:artist:27FGXRNruFoOdf1vP8dqcH,spotify:album:0j1qzjaJmsF1FkcICf3hRu,Cassie
15,spotify:track:1Bv0Yl01xBDZD4OQP93fyl,Ice Box,Omarion,spotify:artist:0f5nVCcR06GX8Qikz0COtT,spotify:album:4cVVEOXyUaWo7vlDWIkKsI,21
16,spotify:track:4omisSlTk6Dsq2iQD7MA07,Sk8er Boi,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,spotify:album:7h6XeTzy0SRXDrFJeA9gO7,Let Go
17,spotify:track:7xYnUQigPoIDAMPVK79NEq,Run It!,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown
18,spotify:track:6d8A5sAx9TfdeseDvfWNHd,Check On It - feat. Bun B and Slim Thug,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:album:3MJHoQUI828kmB6IpjejbW,B'Day
19,spotify:track:4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:album:283NWqNsCA9GwVHrJk59CG,The Writing's On The Wall
20,spotify:track:215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun,Sheryl Crow,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,spotify:album:5NYcTXrRZHxNyRKVOd0vs1,C'Mon C'Mon
21,spotify:track:0uqPG793dkDDN7sCUJJIVC,Where Is The Love?,The Black Eyed Peas,spotify:artist:1yxSLGMDHlW21z4YXirZDS,spotify:album:1bNyYpkDRovmErm4QeDrpJ,Elephunk
22,spotify:track:19Js5ypV6JKn4DMExHQbGc,Stacy's Mom,Bowling For Soup,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,spotify:album:3Q7xpHmP8k3HryE0LQdIk0,I've Never Done Anything Like This
23,spotify:track:1JURww012QnWAw0zZXi6Aa,Just The Girl,The Click Five,spotify:artist:01lz5VBfkMFDteSA9pKJuP,spotify:album:7gZilZGYr8M7UwEeYvdAKZ,Greetings From Imrie House
24,spotify:track:7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:album:49gaz5rhWWgqCw61M9700v,Chris Brown
25,spotify:track:1TfAhjzRBWzYZ8IdUV3igl,Year 3000,Jonas Brothers,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,spotify:album:20RAjvZ9LX2FDuDU8RDuIl,Jonas Brothers
26,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,Lip Gloss,Lil Mama,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,spotify:album:3vgVsm9GY3i39fZ7b1sqV5,Lip Gloss
27,spotify:track:6MjljecHzHelUDismyKkba,Everytime We Touch - Radio Edit,Cascada,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,spotify:album:5DvuKZTzEKjm0oUuhP237C,Everytime We Touch
28,spotify:track:67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,spotify:album:0aVJmVAeEx78nAA1rAKYf7,Jason Derulo
29,spotify:track:34ceTg8ChN5HjrqiIYCn9Q,Miss Independent,Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj,spotify:album:6dTn9vJSxVTIGm4Cu5dH4x,Year Of The Gentleman
30,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,spotify:album:64aKkqxc3Ur2LYIKeS5osS,The Time Of Our Lives
31,spotify:track:6GIrIt2M39wEGwjCQjGChX,The Great Escape,Boys Like Girls,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,spotify:album:4WqgusSAgXkrjbXzqdBY68,Boys Like Girls
32,spotify:track:4E5P1XyAFtrjpiIxkydly4,Replay,Iyaz,spotify:artist:5tKXB9uuebKE34yowVaU3C,spotify:album:44hyrGuZKAvITbmrlhryf8,Replay
33,spotify:track:3H1LCvO3fVsK2HPguhbml0,Forever,Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:album:1UtE4zAlSE2TlKmTFgrTg5,Exclusive - The Forever Edition
34,spotify:track:3uoQULcUWfnt6nc6J7Vgai,Your Love Is My Drug,Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX,spotify:album:5peRwC6pQh8eaoIPtvmmOB,Animal
